author,keyword,link,publish_date,source,title,cleaned_content,is_valid
Ida Bagus Putu Mahendra - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-7493671/bali-berpotensi-gempa-megathrust-begini-penjelasannya,2024-08-16 18:13:00,detik.com,"
        Bali Berpotensi Gempa Megathrust, Begini Penjelasannya    ",denpasar bali disebut berpotensi mengalami gempa megathrust gempa bumi dahsyat ini sumbernya dari selatan pulau baliguru besar bidang geodesi gempa bumi institut teknologi bandung itb irwan meilano mengataka gempa megathrust biasanya terjadi di zona pertemuan antara lempeng di indonesia zona ini berada di pantai barat aceh sumatera utara dan pantai barat sumatera barat kemudian menuju selat sunda bagian selatan pulau jawa bali hingga ke wilayah lombok bagian selatanselatan bali pun termasuk zona yang berpotensi menghasilkan gempa megathrust irwan saat dihubungi detikbali jumat 1682024 scroll to continue with content baca juga klungkung tempati posisi ke2 rawan bencana tsunami di balidekan fakultas ilmu dan teknologi kebumian itb itu menjelaskan megathrust sejatinya berasal dari dua kata mega dan thrust mega merujuk pada nilai skala magnitudo di atas 8 sementara thrust merujuk pada cara terjadinya gempa yakni sesar naik sehingga megathrust berarti gempa dengan nilai skala magnitudo di atas 8 dengan mekanisme sesar naikjadi megathrust itu adalah gempa yang besardi atas 8 dengan mekanisme thrust jelasnya advertisement sesar naik atau sesar atas lanjut irwan yakni bidang gempa yang berada di dasar laut bergerak secara vertikal ke atas hal ini yang menyebabkan air laut juga bergerak ke atasair laut yang bergerak ke atas lantaran adanya sesar naik tersebut biasanya berpotensi menyebabkan tsunami pada saat air ke atas yang paling kita khawatirkan adalah munculnya tsunami tidak kita harapkan tapi biasanya beberapa kasus gempa megathrust diikuti kejadian tsunami jelasnyakendati demikian irwan mewantiwanti agar informasi tersebut tidak disalahartikan publik ia menuturkan adanya potensi gempa megathurst menyiratkan agar masyarakat mulai mempersiapkan diribaca juga bali berpotensi gempa megathrust bpbd minta warga tak panikdisinggung soal waktu terjadinya gempa megathrust irwan menghindari menggunakan istilah prediksi pasalnya para peneliti disebut menggunakan istilah estimasi potensisaya khawatir disalahartikan bali akan terjadi gempa semangatnya bukan begitu semangatnya potensi itu ada dan mari kita samasama mempersiapkan diri bukan kemudian membuat masyarakat panik harapannya kalau bisa jangan terjadi pungkasnya video 3 segmen megathrust indonesia ini berpotensi picu gempa besar kenapa video 3 segmen megathrust indonesia ini berpotensi picu gempa besar kenapa dpwdpw gempa megathrust bali potensi bencana tsunami lempeng tektonik irwan meilano mitigasi bencana,True
I Putu Budikrista Artawan - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-7400751/klungkung-tempati-posisi-ke-2-rawan-bencana-tsunami-di-bali,2024-06-21 07:09:00,detik.com,"
        Klungkung Tempati Posisi ke-2 Rawan Bencana Tsunami di Bali    ",klungkung desa kusamba kecamatan dawan klungkung bali menempati posisi kedua rawan bencana tsunami setelah perairan badung hal tersebut disampaikan kepala pusat gempa bumi dan tsunami badan meteorologi klimatologi dan geofisika bmkg daryonoberdasarkan catatan historis tsunami wilayah kusamba sudah empat kali diterjang tsunami misalnya tsunami tahun 1815 dan 1917 yang dikenal sebagai gejer bali i dan ii di mana menimbulkan banyak korban jiwa kata daryono di selasela kegiatan sekolah lapang gempa bumi 2024 di klungkung kamis 2062024baca juga sentra produksi garam tradisional di klungkung hancur diterjang ombakkemudian lanjut daryono pada 1977 merupakan tsunami kiriman dari selatan sumbawa selain itu tsunami banyuwangi pada 1994 disebabkan oleh megathrust selatan banyuwangi scroll to continue with content wilayah klungkung khususnya kusamba berbatasan dengan selat badung di bagian selatan yang menghadap langsung segmen megathrust yang berpotensi menimbulkan gempa bumi dengan magnitude maksimum 85 dan menimbulkan tsunami dengan ketinggian maksimum 8 meter di pesisir kusamba beber daryonomeningkatnya kerawanan bencana tsunami di wilayah kusamba disebabkan beberapa hal di antaranya adanya lokasi yang berhadapan dengan sumber pembangkit gempa bumi di bagian selatan padatnya penduduk di wilayah pesisir topografi yang landai aktivitas tiga pelabuhan yang padat pemindangan ikan masyarakat nelayan wisata religi pertanian garam dan aktivitas pabrik advertisement sementara kepala stasiun geofisika kelas ii denpasar arief tyastama menjelaskan hingga saat ini gempa bumi belum dapat diprediksi namun untuk tsunami dapat diperkirakan berdasarkan pemodelan bmkgkita harus mampu melakukan mitigasi gempa bumi mandiri dan memahami rantai peringatan dini tsunami sehingga dapat melakukan tindakan yang tepat untuk meminimalisasi korban ujar arief video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra norgsp tsunami bmkg klungkung,True
Arief Ikhsanudin - detikNews,gempa klungkung bali,https://news.detik.com/berita/d-7528967/gempa-m-4-9-guncang-gianyar-bali-dirasakan-hingga-lombok-barat,2024-09-07 09:24:00,detik.com,"
        Gempa M 4,9 Guncang Gianyar Bali Dirasakan hingga Lombok Barat    ",jakarta gempa bumi dengan kekuatan magnitudo m 49 mengguncang gianyar provinsi bali gempa tersebut berpusat di daratmenurut badan meteorologi klimatologi dan geofisika bmkg gempa terjadi pada sabtu 792024 pukul 0851 wib gempa terjadi pada koordinat 850 lintang selatan dan 11533 bujur timur4 km barat laut gianyar bali tulis bmkg scroll to continue with content pusat gempa berada pada kedalaman 19 km belum ada informasi soal dampak gempa tersebut namun gempa dirasakan hingga lombok baratbaca juga gempa m 5 guncang intan jaya papua tengahgempa ini dirasakan mmi iiiiv gianyar iii tabanan iii badung iii denpasar iii klungkung iii mataram iii lombok barat tulis bmkg advertisement iv mmi berarti pada siang hari dirasakan oleh orang banyak dalam rumah di luar oleh beberapa orang gerabah pecah jendelapintu berderik dan dinding berbunyi sementara itu iii mmi yaitu getaran dirasakan nyata dalam rumah terasa getaran seakanakan ada truk berlalusimak juga video antisipasi megathrust bmkg akan teliti sumber gempa di gorontalogambasvideo 20detik aikdhn gempa bumi gempa gianyar,True
Ida Bagus Putu Mahendra - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-7494778/bali-berpotensi-gempa-megathrust-bpbd-minta-warga-tak-panik,2024-08-17 14:34:00,detik.com,"
        Bali Berpotensi Gempa Megathrust, BPBD Minta Warga Tak Panik    ",denpasar kepala pelaksana kalaksa badan penanggulangan bencana daerah bpbd provinsi bali i made rentin meminta warga tidak panik terkait potensi terjadinya gempa megathrust sebab gempa bisa terjadi di seluruh belahan dunia menurutnya posisi pulau bali yang berada di jalur cincin api atau ring of fire rentan terdampak gempapertama adalah dont panic karena potensi gempa itu terjadi hampir di seluruh wilayah dunia apalagi indonesia lebihlebih bali berada di dalam ring of fire kata rentin seusai menghadiri peringatan hut ke79 ri di denpasar sabtu 1782024baca juga bali berpotensi gempa megathrust begini penjelasannyarentin mengungkapkan simulasi kebencanaan menjadi kunci untuk menghadapi gempa melalui simulasi dia berujar masyarakat dapat mengetahui strategi penyelamatan diri scroll to continue with content menurut rentin masyarakat yang panik kerap berlari berbondongbondong untuk menyelamatkan diri saat gempa terjadi padahal rentin melanjutkan hal tersebut tidak direkomendasikanrentin menyarankan warga dapat menunggu di tempatnya masingmasing untuk sementara waktu saat merasakan gempa setelah getaran gempa hilang masyarakat dapat keluar gedung dan berkumpul di titik kumpul atau assembly point advertisement yang biasa terjadi terutama anak sekolah mereka justru berhamburan berlari ini tidak direkomendasikan oleh kami para petugas ujarnyapemerintah provinsi pemprov bali dia berujar telah menjalankan program hari simulasi bencana sejak 2019 kegiatan yang melibatkan masyarakat umum maupun instansi pemerintahan di bali tersebut digelar setiap bulan pada tanggal 26selain itu badan nasional penanggulangan bencana bnpb juga telah meluncurkan aplikasi inarisk personal rentin menjelaskan aplikasi tersebut berisi informasi terkait tingkat bahaya suatu wilayah hingga rekomendasi aksi yang dapat dilakukan sebagai langkah antisipasinyadengan harapan bisa mengambil langkahlangkah mempersiapkan diri karena esensi disaster management adalah penyelamatan dan keselamatan jiwa manusia pungkasnyasebelumnya guru besar bidang geodesi gempa bumi institut teknologi bandung itb irwan meilano mengatakan gempa megathrust biasanya terjadi di zona pertemuan antara lempeng di indonesia zona ini berada di pantai barat aceh sumatera utara dan pantai barat sumatera baratkemudian menuju selat sunda bagian selatan pulau jawa bali hingga ke wilayah lombok bagian selatan selatan bali pun termasuk zona yang berpotensi menghasilkan gempa megathrust irwan jumat 1682024baca juga klungkung tempati posisi ke2 rawan bencana tsunami di balidekan fakultas ilmu dan teknologi kebumian itb itu menjelaskan megathrust berarti gempa dengan nilai skala magnitudo di atas 8 dengan mekanisme sesar naik kendati demikian irwan mewantiwanti agar informasi tersebut tidak disalahartikan publik ia menegaskan informasi tersebut disampaikan agar masyarakat mulai mempersiapkan diriirwan menghindari menggunakan istilah prediksi terkait waktu terjadinya gempa megathrust menurutnya para peneliti lebih condong menggunakan istilah estimasi potensisaya khawatir disalahartikan bali akan terjadi gempa semangatnya bukan begitu semangatnya potensi itu ada dan mari kita samasama mempersiapkan diri bukan kemudian membuat masyarakat panik harapannya kalau bisa jangan terjadi pungkasnya video 3 segmen megathrust indonesia ini berpotensi picu gempa besar kenapa video 3 segmen megathrust indonesia ini berpotensi picu gempa besar kenapa iwsiws megathrust megathrust di indonesia bpbd bali berita bali terkini,True
Agus Eka - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-6577851/percakapan-terakhir-ni-wayan-supini-sebelum-meninggal-di-turki,2023-02-20 07:47:00,detik.com,"
        Percakapan Terakhir Ni Wayan Supini Sebelum Meninggal di Turki    ",klungkung ni wayan supini sempat berkomunikasi dengan keluarganya melalui video call pada 5 februari 2023 komunikasi sehari sebelum gempa turki itu menjadi percakapan terakhir supini dengan suami dan anaknya supini merupakan salah satu dari korban tewas gempa turki asal baliditemui di kediamannya di banjar tegal besar desa negari kecamatan banjarangkan klungkung minggu 1922023 suami supini nyoman ranten berkacakaca menceritakan percakapan terakhir mereka ia tak menyangka supini telah tiadabaca juga suami ni wayan supini angkat suara soal visa liburan istri di turkisehari sebelum gempa turki ranten dan anak ketiganya yang masih tk sempat bercengkerama dengan supini lewat whatsapp mereka samasama melepas kerinduan setelah beberapa bulan tak berjumpa scroll to continue with content saya dapat bicara sebentar karena hp sudah keburu direbut anak tapi ya sudah tidak apa namanya anak sama ibu kangen sudah lama tidak bertemu tutur pria 50 tahun yang dulunya bekerja pariwisata di kuta badungsiapa sangka percakapan itu menjadi yang terakhir kalinya sehari kemudian ia mendapat informasi turki diguncang gempa magnitudo 78 ratusan kali ranten menelepon supini berharap mendapat jawaban dan kabar baik namun tak ada satupun jawaban dari supini meski telepon tersambung advertisement saya dapat kabar dari temannya supini di turki hp handphone aktif ternyata memang istri saya tidak bawa hp waktu lari menyelamatkan diri niat menyelamatkan diri situasinya kacau semua panik kata temannya tutur ranten10 hari ia menunggu kabar supini berbagai cara dilakukan untuk menghubungi sang istri namun hasilnya nihil ia dan keluarga juga sempat dibantu terhubung dengan kedutaan besar republik indonesia kbri untuk memastikan kondisi supinisudah saya hubungi di manamana melalui pesan fb sudah saya hubungi instagram lewat temannya juga tidak ada kabar waktu itu chat sudah banyak ya saya berserah waktu itu ungkap rantenbaca juga ni wayan supini sempat video call suami sehari sebelum meninggalhingga akhirnya ia mendapat kabar salah satu warga negara indonesia wni yang terkonfirmasi meninggal adalah supini beberapa hari lalu kepolisian turki menghubungi kepolisian indonesia untuk terhubung dengan keluarga supini di kutakami diminta datang ke rs trijata rs bhayangkara denpasar untuk cek dna ada hasil 1112 lah ucapnya memastikan sesuai ciriciri jenazah dan hasil pencocokan dna itu memang benar istrinyakepergian supini meninggalkan duka mendalam bagi keluarga dan kerabat jenazah supini rencananya dipulangkan ke klungkung pada rabu 2222023 mendatangsementara keluarga masih menunggu hari baik untuk prosesi upacara ngaben hingga awal maret 2023 sebab sesuai kepercayaan masyarakat setempat upacara kematian mesti ditunda lantaran masih ada upacara agama di pura setempatjenazah kami titip di rsud klungkung saat tiba nanti karena ada upacara antara tanggal 56 maret 2023 setelah itu baru kami keluarga besar akan bicarakan prosesi upacara untuk mendiang sesuai kepercayaan pungkasnya warga turki minta upaya penyelamatan korban gempa dilanjutkan warga turki minta upaya penyelamatan korban gempa dilanjutkan irbgsp ni wayan supini korban tewas gempa turki korban gempa turki percakapan terakhir korban gempa turki percakapan terakhir supini,True
Ahmad Viqi - detikBali,gempa klungkung bali,https://www.detik.com/bali/nusra/d-6585415/wni-terdampak-gempa-turki-4-tewas-128-dievakuasi-dari-diyarbakir-ke-adana,2023-02-23 18:31:00,detik.com,"
        WNI Terdampak Gempa Turki: 4 Tewas, 128 Dievakuasi dari Diyarbakir ke Adana    ",lombok barat sebanyak empat orang warga negara indonesia wni menjadi korban tewas akibat gempa magnitudo 78 yang mengguncang turki pada senin 622023 selain itu 10 orang wni mengalami lukaluka dan ratusan orang lainnya dievakuasi dari kota dyarbakir menuju kota adana turkiada 128 wni kami evakuasi ke adana yang terletak di wilayah bagian tenggara turki kata direktur jenderal perlindungan warga negara indonesia dan badan hukum indonesia kementerian luar negeri yuda nugraha di lombok barat kamis 2322023 sore scroll to continue with content baca juga ratusan warga di lombok barat sambut jenazah pmi korban gempa turkisebagai informasi empat wni yang menjadi korban tewas akibat gempa turki terdiri dari seorang ibu bernama nia marlinda dan anaknya keduanya ditemukan meninggal dunia karena tertimbun reruntuhan di kahramanmarasdua wni lainnya yang meninggal dunia akibat gempa turki yakni irma lestari asal lombok dan ni wayan supini asal bali keduanya ditemukan di reruntuhan apartemen galeria di kota dyarbakir advertisement yuda menjelaskan jenazah irma lestari dan ni wayan supini dipulangkan ke rumah duka masingmasing pada kamis 2322023 sore menurut yuda proses pemulangan jenazah kedua wni itu tidak mengalami kendala ni wayan supini dan irma lestari memang hilang kontak sejak gempa melalui kerja sama seluruh pihak otoritas turki jenazah ditemukan dan bisa dipulangkan ke tanah air kata yuda yang turut hadir saat pemulangan jenazah irma lestaribaca juga korban gempa turki tiba di bali suami usap peti jenazah supinijenazah irma lestari tiba di masjid nurussholihin dusun perampuan barat lombok barat nusa tenggara barat ntb pada pukul 1520 wita kamis 2322023 jenazah irma lestari kemudian dibawa ke tempat pemakaman umum tpu di dusun perampuan barat ratusan masyarakat pun turut mengantarkan jenazah irma lestari ke tempat peristirahatan terkahirsementara itu jenazah ni wayan supini tiba di terminal cargo domestik bandara internasional i gusti ngurah rai bali sekitar pukul 1600 wita jenazah supini tidak langsung dibawa ke rumah duka di banjarangkan melainkan dititipkan di rsud klungkung menurut rencana jenazah supini akan dimakamkan pada 10 maret mendatang video gempa m 61 guncang turki 1 orang tewasbangunan ambruk video gempa m 61 guncang turki 1 orang tewasbangunan ambruk iwshsa gempa turki korban gempa turki korban gempa turki asal lombok korban gempa turki asal bali wni korban gempa turki irma lestari ni wayan supini,True
Ni Made Lastri Karsiani Putri - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-6577318/ni-wayan-supini-masuk-turki-diduga-pakai-visa-liburan,2023-02-19 17:36:00,detik.com,"
        Ni Wayan Supini Masuk Turki Diduga Pakai Visa Liburan    ",denpasar ni wayan supini wni asal bali yang menjadi korban gempa turki diduga menggunakan visa visit atau liburan saat masuk turki pada juli 2022 lalu sebelumnya ia disebutkan pekerja migran indonesia tki yang ditemukan meninggal di bawah reruntuhan gedung tempat tinggalnya di diyarbakirkepala balai pelayanan perlindungan pekerja migran indonesia bp3mi bali anak agung gde indra hardiawa mengatakan almarhum berangkat pada juli 2022 tetapi tidak terdaftar di siskop2mi atawa layanan pelindungan pekerja migranketerangan dari keluarga yang bersangkutan almarhum menggunakan visa visit atau holiday liburan untuk masuk dan bekerja ke turki ungkap agung minggu 1922023 scroll to continue with content baca juga ni wayan supini jadi korban gempa turki disnaker tunggu pemulangan jenazahpadahal sebetulnya seluruh pekerja migran wajib untuk melakukan registrasi pada sistem siap kerja kementerian ketenagakerjaan yang terintegrasi dengan siskop2miuntuk kasus supini lanjut agung biasanya pekerja migran memang menggunakan visa visit agar bisa masuk ke negara penempatan advertisement tetapi apakah setibanya di negara tujuan visa kerjanya diurus atau tidak bergantung tempat ia bekerja kalau bicara konsekuensi pastinya ada minim akan perlindungan bpjs di dalam negeri serta di luar negeri juga jelasnyabaca juga pesan terakhir korban gempa turki pada ibunya mimpi pakai baju putihsupini merupakan warga yang tinggal di desa negari banjar tegal besar klungkung bali berdasarkan keterangan keluarga supini berangkat ke luar negeri untuk pertama kalinya setelah diajak seorang temannya yang ada di turkikepulangan jenazah pada 22 februari 2023 dari turki rencananya jenazah akan dititipkan di rumah sakit umum klungkung dikarenakan masih ada upacara atau odalan tambahnya video setibanya di korsel prabowo disambut pekerja migran asal indonesia video setibanya di korsel prabowo disambut pekerja migran asal indonesia birgsp pekerja migran tki korban gempa turki visa,True
Tim detikBali - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-6577901/fakta-fakta-dua-wni-korban-gempa-turki-ditemukan-di-bawah-runtuhan-gedung,2023-02-20 08:40:00,detik.com,"
        Fakta-fakta Dua WNI Korban Gempa Turki: Ditemukan di Bawah Runtuhan Gedung    ",denpasar duta besar indonesia untuk turki lalu muhammad iqbal mengonfirmasi dua warga negara indonesia wni asal lombok barat dan klungkung bali ikut menjadi korban gempa turki pada senin 622023 mereka adalah irma lestari dan ni wayan supinikeduanya ditemukan meninggal dunia di bawah reruntuhan gedung apartemen galeria tempat mereka tinggal pada jumat 1722023 di diyarbakirirma dan supini sempat hilang kontak saat gempa berkekuatan 78 magnitudo mengguncang turki baru lah pada 16 februari 2023 tim gabungan kbri ankara bersama indonesia search and rescue inasar melakukan pencarian kedua wni tersebut scroll to continue with content baca juga irma lestari tumbuh di bali meninggal di turki akan dikubur di lomboksetelah jenazah ditemukan proses identifikasi dilakukan dengan dukungan tim dvi polri yang saat ini berada di kota hatay ujar iqbal kepada detikbali minggu 1922023 dini hariberikut faktafaktanya advertisement irma lestariirma lahir di desa perampuan kecamatan labuapi lombok barat nusa tenggara barat ntb pada 1989 silam dia lahir dari pasangan nahrawi 65 dan rena 55namun orang tuanya bercerai dan irma diboyong pindah ke gianyar bali dari sana lah ia tumbuh bersama sang ibu dan keluarga barunyasebelum menjadi pekerja migran indonesia alias tki di turki pada akhir 2021 lalu irma sempat bekerja serabutan hingga menjadi tukang bangunan lalu ia menjadi terapis spa yang membawanya terbang ke turkibaca juga jalan takdir irma pindah ke diyabarkir 40 hari sebelum gempaia sudah menikah dengan pria asal jombang dan dikaruniai dua orang anak sejak berangkat ke turki irma menitipkan buah hatinya kepada orang tuakasdiono kakak irma menyebut empat bulan sebelum gempa turki irma mengabari akan pindah kerja dari ibu kota turki di ankara ke kota lainnya diyarbakirnahrowi ayah irma mengatakan jenazah sang anak akan dipulangkan dari turki pada rabu 22 februari 2023 irma akan dikuburkan di kota kelahirannya lombok dimakam keluarga di sini ungkapnyabaca juga kisah pilu irma lestari ingin beli sepeda dan biayai adik kuliahni wayan supinisupini merupakan pekerja migran asal bali ia berangkat menggunakan visa liburan pada juli 2022 lalu niat hati urusan visa ini akan diperbarui sesampainya di turkisupini bertolak ke turki sebagai terapis spa diajak oleh kawannya ia sempat mengikuti pelatihan terapis spa di karangasem sebelum berangkatndilalah belum sempat mengubah izin kerja supini sudah berpulang selamalamanya ia meninggalkan suaminya nyoman ranten dan anakanaknyabaca juga suami supini korban gempa turki angkat suara soal visa liburan istrisehari sebelum gempa turki ranten mengaku sempat melakukan komunikasi dengan supini melalui video call percakapan singkat itu ternyata jadi percakapan terakhir dengan sang istridengan mata berkacakaca ranten bercerita sempat menelepon supini dan menghubunginya lewat media sosial setelah tahu informasi gempa 78 magnitudo menghantamnamun supini tidak pernah merespons satusatunya kabar yang didapat ialah panggilan untuk datang ke rumah sakit trijaya guna mengecek dnasaya sampaikan ke keluarga ke anakanak apapun hasilnya kabar tentang ibu kita harus tabah harus ikhlas ajaknya saat masih mencaricari informasi tentang sang istribaca juga ni wayan supini sempat video call suami sehari sebelum meninggal video gempa m 61 guncang turki 1 orang tewasbangunan ambruk video gempa m 61 guncang turki 1 orang tewasbangunan ambruk birgsp korban gempa turki gempa turki turki wni korban gempa turki tia,True
Mulia Budi - detikNews,gempa klungkung bali,https://news.detik.com/berita/d-6472214/mensos-risma-janji-terus-dampingi-korban-gempa-cianjur,2022-12-20 18:33:00,detik.com,"
        Mensos Risma Janji Terus Dampingi Korban Gempa Cianjur    ",jakarta kementerian sosial kemensos ri akan melakukan pendampingan bagi warga korban gempa cianjur jawa barat pendampingan itu akan dilakukan hingga warga meninggalkan tempat pengungsiankita akan dampingi mereka nggak tau nanti sampai kapan di majene kami dampingi 2 tahun di semeru kami dampingi 7 bulan jadi sampai mereka bisa kemudian mereka mandiri atau mereka bisa bertempat tinggal di tempat hunian sementara kata risma kepada wartawan di alunalun ida dewa agung jambe jalan untung suropati kabupaten klungkung provinsi bali selasa 20122022baca juga mensos risma pemasungan odgj tak boleh terjadi lagirisma mengatakan jumlah pengungsi korban gempa cianjur telah menurun dia mengatakan hal itu terlihat dari menurunnya jumlah bantuan makanan di tempat pengungsian scroll to continue with content kalau dulu di awal setiap hari kami memberikan bantuan makanan yang kami siapkan dari dapur umum itu sekitar 70 ribu pernah sampai 100 ribu per hari per makan tapi sekarang ratarata itu 50 ribu sampai 60 ribu per sekali makan per hari jadi sudah turun kemarin ujarnya sebelumnya status tanggap darurat bencana gempa bumi di kabupaten cianjur berakhir hari ini pemerintah kabupaten cianjur tidak memperpanjang status darurat bencana dan beralih ke masa transisi darurat pemulihan mulai besokkepala pelaksana badan penanggulangan bencana daerah bpbd kabupaten cianjur fatah rizal mengatakan dari hasil rapat koordinasi pemkab bersama bnpb diputuskan fase tanggal darurat berakhirfase tanggap darurat berakhir hari ini tidak ada perpanjangan sekarang masuk ke fase transisi darurat pemulihan ujar fatah dilansir detikjabar selasa 2012menurut dia selama masa transisi pemerintah akan tetap memperhatikan korban gempa yang masih bertahan di tenda pengungsiankita melakukan upaya penanganan bencana dan pemenuhan kebutuhan bagi korban di tendatenda komunal karena pengungsian masih ada ini menjadi kewajiban kami untuk menata karena hunian mereka rusak terdampak gempa katanyabaca juga risma jelaskan langkah cegah penyandang disabilitas jadi korban bullynamun dalam masa transisi pengungsi secara bertahap juga diimbau untuk meninggalkan tenda pengungsian komunal dan kembali ke rumah masingmasingkhusus untuk warga yang rumahnya rusak sedang atau berat dan tidak bisa ditinggali lagi pemkab menyiapkan tenda keluarga untuk para korban bencana gempasejak jauh hari sudah diimbau untuk bertahap kembali ke rumah masingmasing kalau yang tidak bisa ditempati kami sudah siapkan tenda keluarga ucapnyabaca juga hksn 2022 risma cerita temukan anak korban gempa cianjur derita katarak halaman 2 dari 2 zapzap kemensos mensos risma korban gempa cianjur gempa cianjur,True
Agus Eka - detikBali,gempa klungkung bali,https://www.detik.com/bali/berita/d-6577620/ni-wayan-supini-sempat-video-call-suami-sehari-sebelum-meninggal,2023-02-19 21:47:00,detik.com,"
        Ni Wayan Supini Sempat Video Call Suami Sehari Sebelum Meninggal    ",klungkung ni wayan supini menjadi salah satu warga negara indonesia wni asal bali yang menjadi korban gempa turki sang suami i nyoman ranten mengaku sempat berkomunikasi melalui video call dengan supini sehari sebelum gempa berkekuatan 78 magnitudo mengguncang gempa terjadi pada senin 622023 sedangkan video call dilakukan pada minggu 522023sejak saat itu ranten dan ketiga anaknya tidak pernah lagi mendengar kabar supini sekalipun ranten terusmenerus menghubungi supini baik melalui panggilan telepon atau pun pesan di media sosialhal itu dilakukan ranten setelah mengetahui kabar gempa di turki apalagi ia mendapat informasi di media massa bahwa korban gempa turki mencapai puluhan ribu jiwa dari sana ia sadar untuk mulai tabah scroll to continue with content baca juga berpulangnya istri pekerja keras dan sayang anakia juga mengajak keluarga dan anakanak untuk tabah menghadapi kenyataan dan ikhlas saya sampaikan ke keluarga ke anakanak apapun hasilnya kabar tentang ibu kita harus tabah harus ikhlas ungkap ranten mengenang ucapannya saat menanti kabar sang istri kepada detikbali minggu 1922023seraya bercerita mata ranten berkacakaca ia ditemui di kediamannya di dusun tegal besar desa nagari kecamatan banjarangkan klungkung bali advertisement ditambah lagi beberapa kerabat menyampaikan firasat buruk ada dari kerabat yang mengaku bermimpi tidak seperti biasanya saya berharap saat itu istri selamat walaupun tidak tahu apa yang terjadi imbuh diasudah lama tidak ada kabar sejak 5 februari hingga supini ditemukan pada 18 februari tambahnya lirihbaca juga ni wayan supini masuk turki diduga pakai visa liburantibatiba ranten mendapat kabar salah satu dari wni yang meninggal dunia dalam gempa turki adalah sang istri makin hancur saat ranten diminta datang ke rumah sakit untuk cek dnakami diminta datang ke rumah sakit trijata rs bhayangkara denpasar untuk cek dna katanyasebelumnya kepala balai pelayanan perlindungan pekerja migran indonesia bp3mi bali anak agung gde indra hardiawa menduga bahwa supini menggunakan visa visit atau liburan saat masuk turki pad juli 2022 lalu sebab namanya tak terdaftar di siskop2mi layanan perlindungan pekerja migranketerangan dari keluarga yang bersangkutan almarhum menggunakan visa visit atau holiday liburan untuk masuk dan bekerja ke turki ungkap agungpun demikian kepulangan jenazah supini akan diurus pada 22 februari 2023 dari turki rencananya jenazah akan dititipkan di rsu klungkung tandasnya video setibanya di korsel prabowo disambut pekerja migran asal indonesia video setibanya di korsel prabowo disambut pekerja migran asal indonesia biriws korban gempa turki gempa turki tki pekerja migran,True
